"name","latitude","longitude","geometry"
"Fortune Centre",1.30038430396792,103.85225749871,c(103.85225749871, 1.30038430396792)
"Peninsula Plaza",1.29232549255644,103.850830434027,c(103.850830434027, 1.29232549255644)
"Suntec City",1.29507939659444,103.857899281489,c(103.857899281489, 1.29507939659444)
"Tanglin Mall",1.30483690990899,103.823841360336,c(103.823841360336, 1.30483690990899)
"Tanglin Shopping Centre",1.3063259219845,103.826914821968,c(103.826914821968, 1.3063259219845)
"East Point",1.34273052268694,103.953001276317,c(103.953001276317, 1.34273052268694)
"Tanjong Katong Complex",1.31637344561872,103.894361336921,c(103.894361336921, 1.31637344561872)
"City Plaza",1.31477049964774,103.89343038972,c(103.89343038972, 1.31477049964774)
"Tekka Centre",1.30620373513595,103.850593454081,c(103.850593454081, 1.30620373513595)
"Mustafa Centre",1.31012429955209,103.85531639933,c(103.85531639933, 1.31012429955209)
"OUE Downtown",1.27740176754538,103.848670825198,c(103.848670825198, 1.27740176754538)
"Bugis+",1.29965766758967,103.854183064143,c(103.854183064143, 1.29965766758967)
"Sun Plaza",1.44819673724717,103.819518596661,c(103.819518596661, 1.44819673724717)
"313@Somerset",1.300993302997,103.838406662471,c(103.838406662471, 1.300993302997)
"Depot Heights Shopping Centre",1.28118028045849,103.810340565205,c(103.810340565205, 1.28118028045849)
"Sembawang Shopping Centre",1.44186948649992,103.824959960676,c(103.824959960676, 1.44186948649992)
"Causeway Point",1.43607938165523,103.785979847078,c(103.785979847078, 1.43607938165523)
"Simei Plaza /Blk 248",1.34350553518464,103.953622643881,c(103.953622643881, 1.34350553518464)
"The Centris",1.33945397493922,103.705234405305,c(103.705234405305, 1.33945397493922)
"Pioneer Mall",1.34170044547992,103.697171575638,c(103.697171575638, 1.34170044547992)
"Gek Poh Shopping Centre",1.34894447404221,103.697644380362,c(103.697644380362, 1.34894447404221)
"City Square Mall",1.31141137113406,103.856575671703,c(103.856575671703, 1.31141137113406)
"The Star Vista",1.30687671079016,103.788462530292,c(103.788462530292, 1.30687671079016)
"Hougang 1",1.37570794172722,103.879519522266,c(103.879519522266, 1.37570794172722)
"Alexandra Central",1.28728875126646,103.80533394611,c(103.80533394611, 1.28728875126646)
"Old Airport Road Food Centre & Shopping Mall",1.30824115007343,103.885781317826,c(103.885781317826, 1.30824115007343)
"Djitsun Mall Bedok",1.32612964113824,103.929554939754,c(103.929554939754, 1.32612964113824)
